Time [s],PID,Address,Endpoint,Frame #,Data,CRC
-0.000000083333333,SOF,,,'1595' (0x63B),,'23' (0x17)
0.001000041666667,SOF,,,'1596' (0x63C),,'24' (0x18)
0.001817208333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.001820583333333,NAK,,,,,
0.001852333333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.001855666666667,NAK,,,,,
0.001887666666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.001891000000000,NAK,,,,,
0.001923250000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.001926583333333,NAK,,,,,
0.002000208333333,SOF,,,'1597' (0x63D),,'7' (0x07)
0.002003541666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002006916666667,NAK,,,,,
0.002013166666667,OUT,'6' (0x06),'1' (0x01),,,'4' (0x04)
0.002016416666667,DATA0,,,,'27' (0x1B) '5' (0x05),'48180' (0xBC34)
0.002021083333333,ACK,,,,,
0.002034500000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002037833333333,NAK,,,,,
0.002069750000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002073083333333,NAK,,,,,
0.002096833333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002137750000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002141125000000,NAK,,,,,
0.002173291666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002176625000000,NAK,,,,,
0.002200125000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002203458333333,NAK,,,,,
0.002239125000000,NAK,,,,,
0.002280541666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002283875000000,NAK,,,,,
0.002307625000000,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002310958333333,NAK,,,,,
0.002342541666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002345875000000,NAK,,,,,
0.002369458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002372791666667,NAK,,,,,
0.002405458333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002408791666667,NAK,,,,,
0.002432208333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002435541666667,NAK,,,,,
0.002459291666667,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
0.002462625000000,NAK,,,,,
0.002494208333333,IN,'6' (0x06),'2' (0x02),,,'23' (0x17)
