Time [s],PID,Address,Endpoint,Frame #,Data,CRC
0.142971041666667,SOF,,,'817' (0x331),,'31' (0x1F)
0.143971166666667,SOF,,,'818' (0x332),,'23' (0x17)
0.144971333333333,SOF,,,'819' (0x333),,'8' (0x08)
0.145971500000000,SOF,,,'820' (0x334),,'7' (0x07)
0.146971625000000,SOF,,,'821' (0x335),,'24' (0x18)
0.147971791666667,SOF,,,'822' (0x336),,'16' (0x10)
0.148971958333333,SOF,,,'823' (0x337),,'15' (0x0F)
0.149972083333333,SOF,,,'824' (0x338),,'14' (0x0E)
0.150972250000000,SOF,,,'825' (0x339),,'17' (0x11)
0.151972416666667,SOF,,,'826' (0x33A),,'25' (0x19)
0.152972541666667,SOF,,,'827' (0x33B),,'6' (0x06)
0.153972708333333,SOF,,,'828' (0x33C),,\t (0x09)
0.154972875000000,SOF,,,'829' (0x33D),,'22' (0x16)
0.155973000000000,SOF,,,'830' (0x33E),,'30' (0x1E)
0.156973166666667,SOF,,,'831' (0x33F),,'1' (0x01)
0.157973333333333,SOF,,,'832' (0x340),,'6' (0x06)
0.158973458333333,SOF,,,'833' (0x341),,'25' (0x19)
0.159973625000000,SOF,,,'834' (0x342),,'17' (0x11)
0.160973791666667,SOF,,,'835' (0x343),,'14' (0x0E)
0.161973916666667,SOF,,,'836' (0x344),,'1' (0x01)
0.162974083333333,SOF,,,'837' (0x345),,'30' (0x1E)
0.163974250000000,SOF,,,'838' (0x346),,'22' (0x16)
0.164974375000000,SOF,,,'839' (0x347),,\t (0x09)
0.165974500000000,SOF,,,'840' (0x348),,'8' (0x08)
0.166974666666667,SOF,,,'841' (0x349),,'23' (0x17)
0.167974833333333,SOF,,,'842' (0x34A),,'31' (0x1F)
0.168974958333333,SOF,,,'843' (0x34B),,'0' (0x00)
0.169975125000000,SOF,,,'844' (0x34C),,'15' (0x0F)
0.170975291666667,SOF,,,'845' (0x34D),,'16' (0x10)
0.171975416666667,SOF,,,'846' (0x34E),,'24' (0x18)
0.172975583333333,SOF,,,'847' (0x34F),,'7' (0x07)
0.173975750000000,SOF,,,'848' (0x350),,'26' (0x1A)
0.174975875000000,SOF,,,'849' (0x351),,'5' (0x05)
